open_time,BTC,ETH,BNB,XRP,ADA,SOL,DOGE,AVAX,DOT,MATIC,LINK,UNI,LTC,ATOM,ETC,XLM,TRX,NEAR,APT,ALGO,VET,ICP,FIL,AAVE,SHIB
2020-04-26 17:00:00,7775.57,196.16,16.4106,0.19669,0.04654,,0.002386,,,,,,44.39,2.764,6.083,0.06728,,,,,0.004381,,,,
2020-04-27 17:00:00,7748.5,196.44,16.3551,0.21476,0.04714,,0.002336,,,,,,45.68,2.797,6.1529,0.06863,,,,,0.004294,,,,
2020-04-28 17:00:00,8778.63,215.27,17.3905,0.22609,0.0514,,0.0024898,,,,,,48.75,2.953,6.7173,0.07216,,,,,0.004754,,,,
2020-04-29 17:00:00,8630.86,205.46,16.9462,0.21065,0.04711,,0.00244,,,,,,46.62,2.754,6.5395,0.06806,,,,,0.00435,,,,
2020-04-30 17:00:00,8817.65,212.36,17.4605,0.21773,0.0509,,0.0025152,,,,,,47.0,2.849,6.6279,0.07288,,,,,0.004442,,,,
2020-05-01 17:00:00,8972.68,213.54,17.5147,0.22379,0.05074,,0.0025285,,,,,,49.42,2.871,7.4871,0.0751,,,,,0.004524,,,,
2020-05-02 17:00:00,8887.35,209.82,17.0775,0.21892,0.04886,,0.0025059,,,,,,47.94,2.771,7.19,0.07308,,,,,0.004338,,,,
2020-05-03 17:00:00,8868.92,206.65,16.9455,0.21795,0.04949,,0.0024561,,,,,,46.95,2.77,7.2106,0.07303,,,,,0.00445,,,,
2020-05-04 17:00:00,9027.64,204.8,16.8542,0.21686,0.04948,,0.0024727,,,,,,46.39,2.712,7.1747,0.07202,,,,,0.00441,,,,
2020-05-05 17:00:00,9145.93,198.88,16.297,0.21208,0.04902,,0.0025063,,,,,,44.86,2.643,6.8968,0.06996,,,,,0.004252,,,,
2020-05-06 17:00:00,9991.11,212.68,17.0029,0.2186,0.05131,,0.0026484,,,,,,47.55,2.726,7.1391,0.07212,,,,,0.004514,,,,
2020-05-07 17:00:00,9810.32,211.6,17.1705,0.21872,0.05173,,0.0026003,,,,,,48.09,2.823,7.1304,0.07266,,,,,0.0048,,,,
2020-05-08 17:00:00,9539.68,211.55,16.7925,0.21654,0.05164,,0.0026035,,,,,,47.04,2.762,7.0828,0.07203,,,,,0.004565,,,,
2020-05-09 17:00:00,8726.3,188.27,15.3716,0.19715,0.04777,,0.0024615,,,,,,42.19,2.518,6.2243,0.06387,,,,,0.004185,,,,
